% Moku:FrequencyResponseAnalyzer
% Input 1 - DC coupling  50 Ohm impedance  10 Vpp range  output load 50 Ohm  amplitude 5 mVpp  offset 0.000 0 V
% Input 2 - DC coupling  1 MOhm impedance  10 Vpp range  output load 1 MOhm  amplitude 100 mVpp  offset 0.000 0 V
% Logarithmic sweep  calibration off
% Averaging time 10.00 ms  1 cycles; Settling time 2.000 ms  1 cycles
% Measuring fundamental  phase difference between channels 0.000 deg
% Internal 10 MHz clock
% Acquired 2022-08-23 T 15:54:04 -0700
% Frequency (Hz)  Input 1 Magnitude (dB)  Input 1 Phase (deg)  Input 2 Magnitude (dB)  Input 2 Phase (deg)
9.82041704e+05  -4.9732e+00  -1.0902e+01  -9.1591e+01  -8.2823e+00
9.72552157e+05  -6.7451e+00  1.7294e+01  -8.5145e+01  1.3515e+02
9.63154309e+05  -1.0918e+01  1.0724e+01  -9.2500e+01  1.7262e+02
9.53847273e+05  -9.1284e+00  1.7570e+01  -8.3636e+01  -8.8811e-01
9.44630171e+05  -7.9449e+00  3.9511e+01  -7.8629e+01  -6.0558e+01
9.35502135e+05  -6.5494e+00  5.4229e+01  -8.5845e+01  -7.4716e+01
9.26462304e+05  -7.4415e+00  9.0634e+01  -8.9766e+01  -1.4028e+02
9.17509826e+05  -1.5389e+01  6.8513e+01  -8.4041e+01  -7.5876e+01
9.08643856e+05  -6.6636e+00  7.6784e+01  -9.0164e+01  3.1988e+01
8.99863559e+05  -2.7823e+00  9.7957e+01  -8.4768e+01  3.2048e+00
8.91168106e+05  -9.4086e-01  1.3783e+02  -9.2500e+01  -5.3129e+01
8.82556678e+05  -2.0062e+00  -1.6546e+02  -8.6014e+01  -1.2631e+02
8.74028464e+05  -7.8592e+00  -1.5844e+02  -9.7154e+01  3.1923e+00
8.65582658e+05  -1.6097e+01  -1.0668e+02  -8.9994e+01  -1.0897e+02
8.57218464e+05  -1.6006e+01  -7.4659e+00  -8.3675e+01  -8.8376e+01
8.48935094e+05  -9.6351e+00  1.1990e+02  -8.4205e+01  1.3694e+02
8.40731767e+05  -3.6347e+00  1.6934e+02  -9.2103e+01  1.1761e+02
8.32607710e+05  -4.0663e+00  -1.4476e+02  -8.8630e+01  1.3066e+02
8.24562156e+05  -7.0626e+00  -1.2704e+02  -9.6509e+01  1.2133e+02
8.16594347e+05  -4.2186e+00  -1.4327e+02  -8.9174e+01  -9.8768e+01
